GKZ;Gebietsname;Wahlberechtigte;Abgegebene;Ungültige;Gültige;Hofer;%;Van der Bellen;%
G10805;Horitschon;1.511;1.085;76;1.009;661;65,51;348;34,49
G10806;Kaisersdorf;492;363;19;344;218;63,37;126;36,63
G10807;Kobersdorf;1.561;1.178;59;1.119;700;62,56;419;37,44
G10808;Lackenbach;936;587;33;554;380;68,59;174;31,41
G10809;Lockenhaus;1.654;1.175;76;1.099;716;65,15;383;34,85
G10810;Lutzmannsburg;723;542;34;508;337;66,34;171;33,66
G10811;Mannersdorf an der Rabnitz;1.519;1.107;61;1.046;720;68,83;326;31,17
G10812;Markt Sankt Martin;987;731;46;685;401;58,54;284;41,46
G10813;Neckenmarkt;1.383;989;73;916;614;67,03;302;32,97
G10814;Neutal;882;691;47;644;355;55,12;289;44,88
G10815;Nikitsch;1.175;796;50;746;385;51,61;361;48,39
G10816;Oberpullendorf;2.463;1.451;56;1.395;776;55,63;619;44,37
G10817;Pilgersdorf;1.406;992;51;941;629;66,84;312;33,16
G10818;Piringsdorf;725;507;35;472;281;59,53;191;40,47
G10819;Raiding;709;447;36;411;266;64,72;145;35,28
G10820;Ritzing;733;543;28;515;303;58,83;212;41,17
G10821;Steinberg-Dörfl;1.067;783;37;746;426;57,1;320;42,9
G10822;Stoob;1.139;851;34;817;504;61,69;313;38,31
G10823;Weppersdorf;1.479;1.097;75;1.022;660;64,58;362;35,42
G10824;Lackendorf;494;321;24;297;187;62,96;110;37,04
G10825;Unterfrauenhaid;516;368;37;331;255;77,04;76;22,96
G10826;Unterrabnitz-Schwendgraben;527;389;23;366;253;69,13;113;30,87
G10827;Weingraben;289;226;20;206;125;60,68;81;39,32
G10828;Oberloisdorf;686;511;37;474;323;68,14;151;31,86
G10899;Wahlkarten - Oberpullendorf;0;2.729;109;2.620;1.277;48,74;1.343;51,26
G10900;Oberwart;43.295;34.211;1.281;32.930;22.406;68,04;10.524;31,96
G10901;Bad Tatzmannsdorf;1.228;852;31;821;508;61,88;313;38,12
G10902;Bernstein;1.803;1.254;62;1.192;846;70,97;346;29,03
G10903;Deutsch Schützen-Eisenberg;978;723;32;691;469;67,87;222;32,13
G10904;Grafenschachen;1.052;832;42;790;652;82,53;138;17,47
G10905;Großpetersdorf;2.834;1.872;98;1.774;1.108;62,46;666;37,54
G10906;Hannersdorf;650;440;25;415;264;63,61;151;36,39
G10907;Kemeten;1.236;835;19;816;606;74,26;210;25,74
G10908;Kohfidisch;1.208;894;41;853;634;74,33;219;25,67
G10909;Litzelsdorf;964;688;21;667;469;70,31;198;29,69
G10910;Loipersdorf-Kitzladen;1.033;803;24;779;629;80,74;150;19,26
G10911;Mariasdorf;993;702;25;677;505;74,59;172;25,41
G10912;Markt Allhau;1.488;1.113;39;1.074;703;65,46;371;34,54
G10913;Markt Neuhodis;556;383;17;366;261;71,31;105;28,69
G10914;Mischendorf;1.410;926;41;885;660;74,58;225;25,42
G10915;Oberdorf im Burgenland;855;587;17;570;391;68,6;179;31,4
G10916;Oberschützen;1.904;1.389;49;1.340;890;66,42;450;33,58
G10917;Oberwart;5.635;3.564;162;3.402;2.068;60,79;1.334;39,21
G10918;Pinkafeld;4.382;3.100;83;3.017;2.203;73,02;814;26,98
G10919;Rechnitz;2.436;1.603;52;1.551;1.137;73,31;414;26,69
G10920;Riedlingsdorf;1.322;962;26;936;700;74,79;236;25,21
G10921;Rotenturm an der Pinka;1.131;828;39;789;550;69,71;239;30,29
G10922;Schachendorf;555;410;17;393;221;56,23;172;43,77
G10923;Stadtschlaining;1.655;1.095;48;1.047;770;73,54;277;26,46
G10924;Unterkohlstätten;852;680;29;651;440;67,59;211;32,41
G10925;Unterwart;697;479;18;461;343;74,4;118;25,6
G10926;Weiden bei Rechnitz;685;506;28;478;338;70,71;140;29,29
G10927;Wiesfleck;940;728;24;704;585;83,1;119;16,9
G10928;Wolfau;1.098;805;15;790;567;71,77;223;28,23
G10929;Neustift an der Lafnitz;647;483;27;456;355;77,85;101;22,15
G10930;Jabing;603;444;20;424;282;66,51;142;33,49
G10931;Badersdorf;247;170;5;165;129;78,18;36;21,82
G10932;Schandorf;218;138;8;130;81;62,31;49;37,69
G10999;Wahlkarten - Oberwart;0;3.923;97;3.826;2.042;53,37;1.784;46,63
G1A000;Burgenland Nord;121.921;96.256;4.120;92.136;53.228;57,77;38.908;42,23
G1B000;Burgenland Süd;110.107;86.086;3.845;82.241;53.900;65,54;28.341;34,46
G20000;Kärnten;440.435;304.381;12.518;291.863;169.564;58,1;122.299;41,9
G20099;Wahlkarten - Kärnten;0;37.973;1.065;36.908;16.393;44,42;20.515;55,58
G20100;Klagenfurt(Stadt);73.888;49.939;1.575;48.364;23.057;47,67;25.307;52,33
G20101;Klagenfurt am Wörthersee;73.888;43.517;1.436;42.081;20.878;49,61;21.203;50,39
G20199;Wahlkarten - Klagenfurt(Stadt);0;6.422;139;6.283;2.179;34,68;4.104;65,32
G20200;Villach(Stadt);44.860;30.841;1.068;29.773;16.097;54,07;13.676;45,93
G20201;Villach;44.860;27.343;1.013;26.330;14.792;56,18;11.538;43,82
G20299;Wahlkarten - Villach(Stadt);0;3.498;55;3.443;1.305;37,9;2.138;62,1
G20300;Hermagor;14.937;10.696;679;10.017;5.450;54,41;4.567;45,59
G20302;Dellach;1.011;591;38;553;319;57,69;234;42,31
G20305;Hermagor-Pressegger See;5.543;3.338;194;3.144;1.729;54,99;1.415;45,01
G20306;Kirchbach;2.161;1.321;106;1.215;725;59,67;490;40,33
G20307;Kötschach-Mauthen;2.785;1.667;110;1.557;860;55,23;697;44,77
G20316;St. Stefan im Gailtal;1.318;815;57;758;435;57,39;323;42,61
G20320;Gitschtal;991;654;43;611;345;56,46;266;43,54
G20321;Lesachtal;1.128;683;80;603;351;58,21;252;41,79
G20399;Wahlkarten - Hermagor;0;1.627;51;1.576;686;43,53;890;56,47
G20400;Klagenfurt Land;46.872;33.141;1.488;31.653;17.657;55,78;13.996;44,22
G20402;Ebenthal in Kärnten;6.218;3.562;151;3.411;2.177;63,82;1.234;36,18
G20403;Feistritz im Rosental;1.996;1.179;59;1.120;563;50,27;557;49,73
G20405;Ferlach;5.628;3.472;171;3.301;1.909;57,83;1.392;42,17
G20409;Grafenstein;2.298;1.404;73;1.331;889;66,79;442;33,21
G20412;Keutschach am See;1.947;1.199;54;1.145;566;49,43;579;50,57
G20414;Köttmannsdorf;2.312;1.493;68;1.425;756;53,05;669;46,95
G20415;Krumpendorf am Wörthersee;2.655;1.584;64;1.520;711;46,78;809;53,22
G20416;Ludmannsdorf;1.486;951;39;912;476;52,19;436;47,81
G20417;Maria Rain;1.917;1.179;64;1.115;639;57,31;476;42,69
G20418;Maria Saal;3.144;2.021;81;1.940;1.036;53,4;904;46,6
G20419;Maria Wörth;1.229;743;35;708;365;51,55;343;48,45
G20421;Moosburg;3.622;2.082;101;1.981;1.213;61,23;768;38,77
G20424;Pörtschach am Wörther See;2.151;1.233;49;1.184;649;54,81;535;45,19
G20425;Poggersdorf;2.518;1.707;122;1.585;1.078;68,01;507;31,99
G20428;St. Margareten im Rosental;869;501;35;466;284;60,94;182;39,06
G20432;Schiefling am Wörthersee;1.942;1.194;49;1.145;703;61,4;442;38,6
G20435;Techelsberg am Wörther See;1.749;1.027;49;978;626;64,01;352;35,99
G20441;Zell;517;311;27;284;71;25;213;75
G20442;Magdalensberg;2.674;1.665;65;1.600;949;59,31;651;40,69
G20499;Wahlkarten - Klagenfurt Land;0;4.634;132;4.502;1.997;44,36;2.505;55,64
G20500;Sankt Veit an der Glan;45.071;31.351;1.325;30.026;19.450;64,78;10.576;35,22
G20501;Althofen;3.851;2.311;115;2.196;1.430;65,12;766;34,88
G20502;Brückl;2.281;1.387;52;1.335;869;65,09;466;34,91
G20503;Deutsch-Griffen;777;457;9;448;363;81,03;85;18,97
G20504;Eberstein;1.071;677;30;647;479;74,03;168;25,97
G20505;Friesach;4.219;2.375;93;2.282;1.591;69,72;691;30,28
G20506;Glödnitz;680;378;20;358;287;80,17;71;19,83
G20508;Gurk;1.054;743;41;702;505;71,94;197;28,06
G20509;Guttaring;1.180;762;32;730;439;60,14;291;39,86
G20511;Hüttenberg;1.264;744;27;717;505;70,43;212;29,57
G20512;Kappel am Krappfeld;1.579;1.009;66;943;638;67,66;305;32,34
G20513;Klein St. Paul;1.551;1.033;44;989;729;73,71;260;26,29
G20515;Liebenfels;2.631;1.560;68;1.492;977;65,48;515;34,52
G20518;Metnitz;1.714;1.125;56;1.069;784;73,34;285;26,66
G20519;Micheldorf;863;493;27;466;298;63,95;168;36,05
G20520;Mölbling;1.082;706;32;674;503;74,63;171;25,37
G20523;St. Georgen am Längsee;2.966;1.846;68;1.778;1.071;60,24;707;39,76
G20527;St. Veit an der Glan;9.932;5.679;229;5.450;3.200;58,72;2.250;41,28
G20530;Straßburg;1.688;1.111;59;1.052;798;75,86;254;24,14
G20531;Weitensfeld im Gurktal;1.767;1.039;48;991;760;76,69;231;23,31
G20534;Frauenstein;2.921;1.846;58;1.788;1.122;62,75;666;37,25
G20599;Wahlkarten - Sankt Veit an der Glan;0;4.070;151;3.919;2.102;53,64;1.817;46,36
G20600;Spittal an der Drau;62.061;43.062;1.799;41.263;25.326;61,38;15.937;38,62
G20601;Bad Kleinkirchheim;1.325;705;16;689;474;68,8;215;31,2
G20602;Baldramsdorf;1.484;899;41;858;577;67,25;281;32,75
G20603;Berg im Drautal;1.089;645;44;601;325;54,08;276;45,92
G20604;Dellach im Drautal;1.368;799;47;752;460;61,17;292;38,83
G20605;Großkirchheim;1.110;718;12;706;513;72,66;193;27,34
G20607;Flattach;975;591;20;571;423;74,08;148;25,92
