Bezirks-Nr.;Bezirk;Kanton;t;  FDP;  CVP;  SP;  SVP;  LPS;  EVP;  CSP;  GLP;  BDP;  PdA;  GPS;  Sol;  SD;  EDU;  Lega;  MCR;  Übrige;wb
1001;District de la Broye;FR;0; 14,1 ; 23,5 ; 25,4 ; 23,8 ;; 0,5 ; 2,4 ; 2,5 ; 1,2 ;; 4,5 ;;; 0,8 ;;; 1,4 ;47,1  
1002;District de la Glâne;FR;0; 12,9 ; 24,3 ; 23,4 ; 26,6 ;; 0,4 ; 2,7 ; 1,9 ; 0,6 ;; 5,0 ;;; 1,0 ;;; 1,1 ;45,0  
1003;District de la Gruyère;FR;0; 17,2 ; 20,3 ; 28,1 ; 22,0 ;; 0,4 ; 2,9 ; 1,9 ; 0,8 ;; 4,4 ;;; 0,6 ;;; 1,3 ;46,7  
1004;District de la Sarine;FR;0; 10,5 ; 19,8 ; 33,6 ; 16,3 ;; 0,4 ; 6,3 ; 3,3 ; 1,0 ;; 6,6 ;;; 0,3 ;;; 1,8 ;47,3  
1005;Bezirk See / District du Lac;FR;0; 16,3 ; 14,2 ; 20,6 ; 24,4 ;; 2,1 ; 2,8 ; 7,3 ; 5,4 ;; 4,3 ;;; 1,1 ;;; 1,6 ;48,9  
1006;Bezirk Sense;FR;0; 10,5 ; 22,4 ; 18,7 ; 23,0 ;; 0,7 ; 11,6 ; 4,2 ; 3,3 ;; 3,1 ;;; 1,0 ;;; 1,6 ;49,1  
1007;District de la Veveyse;FR;0; 10,1 ; 18,2 ; 29,1 ; 27,2 ;; 0,7 ; 3,5 ; 3,1 ; 0,8 ;; 5,5 ;;; 0,7 ;;; 1,2 ;42,2  
1101;Bezirk Gäu;SO;0; 21,0 ; 26,5 ; 10,4 ; 28,1 ;; 1,1 ;; 3,6 ; 3,5 ;; 3,8 ;;; 0,5 ;;; 1,5 ;51,9  
1102;Bezirk Thal;SO;0; 15,3 ; 34,8 ; 8,3 ; 29,2 ;; 1,1 ;; 2,4 ; 3,0 ;; 3,4 ;;; 0,8 ;;; 1,8 ;58,2  
1103;Bezirk Bucheggberg;SO;0; 29,4 ; 6,1 ; 14,6 ; 24,5 ;; 1,2 ;; 6,1 ; 7,2 ;; 7,2 ;;; 0,6 ;;; 3,3 ;56,7  
1104;Bezirk Dorneck;SO;0; 13,6 ; 16,3 ; 19,3 ; 22,1 ;; 1,4 ;; 6,0 ; 4,2 ;; 13,4 ;;; 0,2 ;;; 3,6 ;52,0  
1105;Bezirk Gösgen;SO;0; 15,7 ; 18,6 ; 19,5 ; 26,8 ;; 2,1 ;; 4,8 ; 3,8 ;; 6,2 ;;; 0,6 ;;; 2,0 ;51,0  
1106;Bezirk Wasseramt;SO;0; 17,4 ; 14,8 ; 22,3 ; 24,2 ;; 1,0 ;; 5,5 ; 5,2 ;; 7,0 ;;; 0,5 ;;; 2,1 ;50,7  
1107;Bezirk Lebern;SO;0; 18,1 ; 16,2 ; 17,9 ; 25,9 ;; 1,3 ;; 5,0 ; 5,6 ;; 6,7 ;;; 0,6 ;;; 2,8 ;50,2  
1108;Bezirk Olten;SO;0; 17,0 ; 16,2 ; 21,7 ; 24,2 ;; 2,4 ;; 5,1 ; 4,0 ;; 7,1 ;;; 0,5 ;;; 1,8 ;51,1  
1109;Bezirk Solothurn;SO;0; 21,7 ; 14,1 ; 22,4 ; 12,8 ;; 1,0 ;; 6,4 ; 3,1 ;; 15,5 ;;; 0,2 ;;; 2,9 ;55,1  
1110;Bezirk Thierstein;SO;0; 27,4 ; 21,5 ; 10,2 ; 24,4 ;; 0,9 ;; 4,1 ; 3,0 ;; 5,5 ;;; 0,4 ;;; 2,6 ;48,6  
1200;Kanton Basel-Stadt;BS;0; 12,4 ; 6,6 ; 29,2 ; 16,5 ; 6,9 ; 2,5 ;; 5,8 ; 2,2 ;; 13,3 ;;; 0,5 ;;; 4,2 ;51,5  
1301;Bezirk Arlesheim;BL;0; 11,9 ; 9,9 ; 26,3 ; 23,9 ;; 3,0 ;; 5,4 ; 6,1 ;; 12,9 ;; 0,7 ;;;;;47,5  
1302;Bezirk Laufen;BL;0; 11,6 ; 18,8 ; 17,2 ; 32,1 ;; 1,3 ;; 3,5 ; 5,0 ;; 9,8 ;; 0,6 ;;;;;45,2  
1303;Bezirk Liestal;BL;0; 11,3 ; 5,1 ; 25,2 ; 27,0 ;; 4,3 ;; 5,2 ; 6,5 ;; 14,5 ;; 0,8 ;;;;;47,9  
1304;Bezirk Sissach;BL;0; 10,7 ; 3,1 ; 22,1 ; 32,0 ;; 3,3 ;; 3,8 ; 7,2 ;; 17,1 ;; 0,6 ;;;;;52,0  
1305;Bezirk Waldenburg;BL;0; 9,5 ; 3,5 ; 19,0 ; 36,6 ;; 4,6 ;; 5,2 ; 7,9 ;; 13,0 ;; 0,5 ;;;;;50,4  
1401;Bezirk Oberklettgau;SH;0; 15,1 ; 6,2 ; 26,6 ; 44,1 ;;;;;;;;;; 5,1 ;;; 2,9 ;63,9  
1402;Bezirk Reiat;SH;0; 13,3 ; 4,1 ; 29,0 ; 46,0 ;;;;;;;;;; 4,9 ;;; 2,6 ;68,3  
1403;Bezirk Schaffhausen;SH;0; 12,6 ; 5,4 ; 38,4 ; 35,3 ;;;;;;;;;; 3,3 ;;; 5,1 ;58,6  
1404;Bezirk Schleitheim;SH;0; 11,4 ; 4,1 ; 22,7 ; 54,1 ;;;;;;;;;; 5,3 ;;; 2,4 ;59,7  
1405;Bezirk Stein;SH;0; 10,2 ; 6,3 ; 31,9 ; 44,9 ;;;;;;;;;; 2,5 ;;; 4,2 ;63,0  
1406;Bezirk Unterklettgau;SH;0; 7,9 ; 4,8 ; 28,2 ; 51,4 ;;;;;;;;;; 5,6 ;;; 2,1 ;64,9  
1501;Bezirk Hinterland;AR;0; 48,3 ; 12,4 ;; 33,7 ;;;;;;; 4,8 ;;;;;; 0,7 ;44,4  
1502;Bezirk Mittelland;AR;0; 56,4 ; 9,0 ;; 25,3 ;;;;;;; 7,8 ;;;;;; 1,5 ;51,3  
1503;Bezirk Vorderland;AR;0; 50,0 ; 9,6 ;; 32,3 ;;;;;;; 7,1 ;;;;;; 0,9 ;48,1  
1600;Kanton Appenzell Innerrhoden;AI;0;; 76,1 ; 20,3 ;;;;;;;;;;;;;; 3,6 ;37,8  
1721;Wahlkreis St. Gallen;SG;0; 13,2 ; 19,1 ; 22,9 ; 24,4 ;; 1,9 ;; 6,8 ; 3,1 ;; 7,8 ;;; 0,8 ;;;;47,0  
1722;Wahlkreis Rorschach;SG;0; 12,7 ; 19,4 ; 19,3 ; 32,0 ;; 1,7 ;; 5,3 ; 3,1 ;; 5,3 ;;; 1,3 ;;;;46,8  
1723;Wahlkreis Rheintal;SG;0; 11,6 ; 24,6 ; 12,2 ; 36,8 ;; 1,1 ;; 5,1 ; 2,8 ;; 4,6 ;;; 1,1 ;;;;46,0  
1724;Wahlkreis Werdenberg;SG;0; 14,7 ; 11,7 ; 19,2 ; 32,2 ;; 4,3 ;; 6,2 ; 4,9 ;; 5,0 ;;; 1,7 ;;;;46,5  
1725;Wahlkreis Sarganserland;SG;0; 9,8 ; 22,6 ; 14,4 ; 35,1 ;; 0,9 ;; 6,0 ; 5,6 ;; 4,6 ;;; 1,1 ;;;;46,7  
1726;Wahlkreis See-Gaster;SG;0; 9,4 ; 22,5 ; 12,9 ; 32,8 ;; 1,2 ;; 7,2 ; 4,6 ;; 7,9 ;;; 1,4 ;;;;44,5  
1727;Wahlkreis Toggenburg;SG;0; 12,4 ; 22,0 ; 12,7 ; 35,8 ;; 1,9 ;; 3,9 ; 3,9 ;; 5,7 ;;; 1,8 ;;;;51,1  
1728;Wahlkreis Wil;SG;0; 13,7 ; 19,3 ; 15,0 ; 32,3 ;; 2,2 ;; 5,9 ; 3,9 ;; 6,4 ;;; 1,2 ;;;;48,4  
1821;Bezirk Albula;GR;0; 17,1 ; 24,6 ; 10,6 ; 17,7 ;;;; 5,6 ; 22,3 ;; 1,9 ;;; 0,3 ;;;;46,9  
1822;Distretto di Bernina;GR;0; 4,1 ; 41,8 ; 16,0 ; 30,0 ;;;; 1,8 ; 5,5 ;; 0,8 ;;; 0,0 ;;;;47,1  
1823;Bezirk Hinterrhein;GR;0; 11,6 ; 8,1 ; 17,2 ; 20,6 ;;;; 8,8 ; 31,0 ;; 2,2 ;;; 0,6 ;;;;48,3  
1824;Bezirk Imboden;GR;0; 11,6 ; 14,9 ; 18,4 ; 23,5 ;;;; 9,6 ; 20,0 ;; 1,9 ;;; 0,1 ;;;;45,5  
1825;Bezirk Inn;GR;0; 9,0 ; 7,1 ; 13,8 ; 28,2 ;;;; 5,5 ; 32,9 ;; 2,8 ;;; 0,6 ;;;;46,5  
1826;Bezirk Landquart;GR;0; 10,0 ; 10,4 ; 16,0 ; 30,3 ;;;; 10,9 ; 19,9 ;; 1,7 ;;; 0,8 ;;;;44,5  
1827;Bezirk Maloja / Distretto di Maloggia;GR;0; 24,0 ; 6,3 ; 14,8 ; 24,9 ;;;; 7,9 ; 19,2 ;; 2,1 ;;; 0,8 ;;;;41,2  
1828;Distretto di Moesa;GR;0; 11,2 ; 22,4 ; 27,0 ; 24,1 ;;;; 1,8 ; 10,9 ;; 2,3 ;;; 0,2 ;;;;32,7  
1829;Bezirk Plessur;GR;0; 10,9 ; 12,2 ; 20,9 ; 22,7 ;;;; 11,1 ; 19,4 ;; 2,5 ;;; 0,3 ;;;;43,8  
1830;Bezirk Prättigau-Davos;GR;0; 14,6 ; 3,7 ; 12,8 ; 33,0 ;;;; 8,3 ; 24,0 ;; 2,8 ;;; 0,9 ;;;;46,0  
1831;Bezirk Surselva;GR;0; 7,2 ; 48,0 ; 7,4 ; 15,7 ;;;; 5,1 ; 14,3 ;; 1,8 ;;; 0,4 ;;;;50,4  
1901;Bezirk Aarau;AG;0; 13,8 ; 6,6 ; 21,2 ; 30,5 ;; 4,8 ;; 5,7 ; 6,0 ;; 8,3 ;; 0,3 ; 1,2 ;;; 1,6 ;51,0  
1902;Bezirk Baden;AG;0; 12,0 ; 13,3 ; 19,1 ; 30,3 ;; 2,8 ;; 6,9 ; 5,5 ;; 7,8 ;; 0,3 ; 0,8 ;;; 1,2 ;51,4  
1903;Bezirk Bremgarten;AG;0; 11,0 ; 13,6 ; 16,4 ; 36,7 ;; 1,9 ;; 6,4 ; 6,2 ;; 5,9 ;; 0,3 ; 0,7 ;;; 1,0 ;48,1  
1904;Bezirk Brugg;AG;0; 12,9 ; 7,6 ; 18,4 ; 34,5 ;; 3,6 ;; 5,7 ; 6,5 ;; 8,0 ;; 0,3 ; 1,4 ;;; 1,1 ;52,1  
1905;Bezirk Kulm;AG;0; 12,5 ; 4,4 ; 14,8 ; 43,5 ;; 5,0 ;; 3,6 ; 5,6 ;; 5,3 ;; 1,2 ; 2,6 ;;; 1,5 ;45,5  
1906;Bezirk Laufenburg;AG;0; 8,0 ; 16,1 ; 15,8 ; 36,7 ;; 1,8 ;; 4,4 ; 6,8 ;; 8,0 ;; 0,4 ; 0,7 ;;; 1,3 ;48,6  
1907;Bezirk Lenzburg;AG;0; 12,8 ; 6,2 ; 17,7 ; 37,8 ;; 4,0 ;; 5,9 ; 6,3 ;; 6,4 ;; 0,3 ; 1,1 ;;; 1,4 ;49,8  
1908;Bezirk Muri;AG;0; 8,2 ; 19,8 ; 13,0 ; 37,7 ;; 1,2 ;; 5,2 ; 6,3 ;; 6,4 ;; 0,4 ; 0,6 ;;; 1,1 ;48,1  
1909;Bezirk Rheinfelden;AG;0; 10,1 ; 11,5 ; 20,3 ; 30,6 ;; 1,6 ;; 5,9 ; 7,3 ;; 9,7 ;; 0,5 ; 1,2 ;;; 1,2 ;41,3  
1910;Bezirk Zofingen;AG;0; 10,9 ; 5,1 ; 19,2 ; 35,9 ;; 5,4 ;; 4,9 ; 7,4 ;; 7,1 ;; 0,3 ; 2,4 ;;; 1,2 ;45,0  
1911;Bezirk Zurzach;AG;0; 8,3 ; 16,5 ; 15,1 ; 43,4 ;; 1,5 ;; 3,5 ; 4,6 ;; 5,1 ;; 0,2 ; 0,7 ;;; 1,1 ;51,8  
2011;Bezirk Arbon;TG;0; 12,9 ; 12,0 ; 15,1 ; 36,5 ;; 2,7 ;; 5,2 ; 4,5 ;; 7,2 ;;; 3,7 ;;;;41,9  
2012;Bezirk Frauenfeld;TG;0; 10,9 ; 12,8 ; 13,5 ; 38,0 ;; 3,3 ;; 6,0 ; 5,2 ;; 7,5 ;;; 2,7 ;;;;48,9  
2013;Bezirk Kreuzlingen;TG;0; 12,1 ; 13,3 ; 14,6 ; 37,3 ;; 2,4 ;; 4,2 ; 5,1 ;; 8,8 ;;; 2,2 ;;;;47,7  
2014;Bezirk Münchwilen;TG;0; 7,7 ; 19,6 ; 8,8 ; 42,2 ;; 2,4 ;; 5,8 ; 4,7 ;; 5,7 ;;; 3,1 ;;;;46,3  
2015;Bezirk Weinfelden;TG;0; 12,5 ; 14,9 ; 8,6 ; 40,1 ;; 3,2 ;; 4,4 ; 5,2 ;; 5,7 ;;; 5,3 ;;;;49,1  
