Bezirks-Nr.;Bezirk;Kanton;t;  FDP;  CVP;  SP;  SVP;  EVP;  CSP;  GLP;  BDP;  PdA;  GPS;  Sol;  SD;  EDU;  Lega;  MCR;  Übrige;wb
1829;Bezirk Plessur;GR;1; 12,5 ; 12,9 ; 24,5 ; 27,7 ;;; 9,6 ; 12,7 ;;;;;;;; 0,1 ;44,9  
1830;Bezirk Prättigau-Davos;GR;1; 17,3 ; 4,3 ; 14,0 ; 36,2 ;;; 9,9 ; 17,4 ;;;;;;;; 1,0 ;46,6  
1831;Bezirk Surselva;GR;1; 6,3 ; 49,8 ; 8,9 ; 21,5 ;;; 4,2 ; 9,3 ;;;;;;;; 0,0 ;50,3  
1901;Bezirk Aarau;AG;1; 17,4 ; 5,4 ; 20,5 ; 31,8 ; 4,6 ;; 6,1 ; 4,5 ;; 6,5 ;;; 1,2 ;;; 2,0 ;52,2  
1902;Bezirk Baden;AG;1; 16,1 ; 11,5 ; 16,8 ; 32,1 ; 2,8 ;; 6,2 ; 5,4 ;; 6,6 ;;; 0,7 ;;; 1,9 ;50,2  
1903;Bezirk Bremgarten;AG;1; 15,1 ; 10,8 ; 14,3 ; 40,8 ; 2,0 ;; 5,1 ; 5,3 ;; 4,4 ;;; 0,7 ;;; 1,7 ;49,1  
1904;Bezirk Brugg;AG;1; 15,7 ; 6,3 ; 16,6 ; 36,6 ; 4,4 ;; 4,9 ; 5,7 ;; 6,5 ;;; 1,2 ;;; 2,1 ;51,4  
1905;Bezirk Kulm;AG;1; 17,3 ; 3,0 ; 12,0 ; 47,3 ; 4,5 ;; 3,1 ; 4,4 ;; 4,0 ;;; 2,6 ;;; 1,8 ;46,9  
1906;Bezirk Laufenburg;AG;1; 11,3 ; 13,7 ; 13,9 ; 40,7 ; 1,9 ;; 4,1 ; 5,5 ;; 5,6 ;;; 0,8 ;;; 2,4 ;48,3  
1907;Bezirk Lenzburg;AG;1; 16,3 ; 4,7 ; 15,9 ; 40,3 ; 3,8 ;; 5,5 ; 5,5 ;; 5,1 ;;; 1,1 ;;; 1,8 ;50,3  
1908;Bezirk Muri;AG;1; 11,5 ; 16,3 ; 10,6 ; 44,1 ; 1,6 ;; 4,4 ; 4,8 ;; 4,3 ;;; 0,6 ;;; 1,8 ;48,1  
1909;Bezirk Rheinfelden;AG;1; 13,6 ; 8,9 ; 18,9 ; 36,7 ; 1,7 ;; 5,4 ; 5,9 ;; 5,3 ;;; 1,0 ;;; 2,5 ;40,9  
1910;Bezirk Zofingen;AG;1; 13,6 ; 3,8 ; 16,8 ; 41,2 ; 5,9 ;; 4,8 ; 5,1 ;; 4,3 ;;; 2,3 ;;; 2,3 ;45,3  
1911;Bezirk Zurzach;AG;1; 13,0 ; 12,7 ; 12,7 ; 46,5 ; 1,6 ;; 3,3 ; 4,1 ;; 3,8 ;;; 0,7 ;;; 1,3 ;50,3  
9190;AG-Ausland-CH;AG;1; 16,5 ; 6,6 ; 20,4 ; 27,3 ; 2,7 ;; 7,0 ; 3,3 ;; 12,0 ;;; 1,8 ;;; 2,4 ;20,8  
2011;Bezirk Arbon;TG;1; 15,2 ; 11,7 ; 14,2 ; 38,3 ; 2,4 ;; 4,8 ; 3,4 ;; 5,8 ;;; 3,9 ;;; 0,2 ;43,9  
